VaccinationDate,age_group,first_dose,second_dose
3/25/2021,30-39,2263,8606
3/25/2021,60-69,544,1567
3/25/2021,50-59,932,3164
3/25/2021,20-29,3102,10921
3/25/2021,0-19,1247,4308
3/25/2021,80-89,149,412
3/26/2021,30-39,986,3271
3/26/2021,50-59,389,1159
3/26/2021,80-89,43,140
3/26/2021,70-79,91,250
3/26/2021,60-69,222,535
3/26/2021,40-49,616,2127
3/26/2021,90+,18,31
3/26/2021,20-29,1191,4170
3/26/2021,0-19,449,1528
3/27/2021,40-49,236,646
3/27/2021,70-79,26,65
3/27/2021,30-39,387,870
3/27/2021,60-69,81,164
3/27/2021,20-29,585,1496
3/27/2021,0-19,253,542
3/27/2021,50-59,134,385
3/27/2021,80-89,7,27
3/27/2021,90+,7,7
3/28/2021,50-59,179,427
3/28/2021,60-69,68,187
3/28/2021,40-49,288,709
3/28/2021,70-79,36,90
3/28/2021,30-39,437,927
3/28/2021,90+,7,7
3/28/2021,20-29,727,1494
3/28/2021,80-89,7,28
3/28/2021,0-19,284,678
3/29/2021,50-59,714,2840
3/29/2021,80-89,128,432
3/29/2021,0-19,904,3637
3/29/2021,30-39,1413,7001
3/29/2021,70-79,229,812
3/29/2021,60-69,456,1542
3/29/2021,40-49,1017,4690
3/29/2021,90+,47,107
3/29/2021,20-29,1867,8795
3/30/2021,20-29,2231,6660
3/30/2021,0-19,1105,2825
3/30/2021,30-39,1587,5085
3/30/2021,40-49,1056,3339
3/30/2021,70-79,269,606
3/30/2021,50-59,718,2113
3/30/2021,90+,58,81
3/30/2021,80-89,157,368
3/30/2021,60-69,477,1154
3/31/2021,0-19,994,2310
3/31/2021,80-89,200,279
3/31/2021,70-79,298,531
3/31/2021,20-29,2290,5645
3/31/2021,30-39,1661,4684
3/31/2021,40-49,1172,2967
3/31/2021,60-69,484,990
3/31/2021,50-59,791,1769
3/31/2021,90+,58,74
4/1/2021,20-29,2282,5722
4/1/2021,80-89,165,234
4/1/2021,0-19,1104,2359
4/1/2021,50-59,784,1643
4/1/2021,60-69,485,872
4/1/2021,70-79,261,414
4/1/2021,40-49,1212,2745
4/1/2021,90+,48,63
4/1/2021,30-39,1603,4415
4/2/2021,20-29,820,2538
4/2/2021,0-19,320,901
4/2/2021,70-79,59,122
4/2/2021,60-69,128,313
4/2/2021,80-89,27,79
4/2/2021,90+,7,7
4/2/2021,50-59,305,640
4/2/2021,40-49,440,1286
4/2/2021,30-39,663,2072
4/3/2021,30-39,248,593
4/3/2021,70-79,31,53
4/3/2021,90+,7,7
4/3/2021,0-19,206,384
4/3/2021,80-89,7,16
4/3/2021,20-29,472,1073
4/3/2021,40-49,183,433
4/3/2021,50-59,132,222
4/3/2021,60-69,60,103
4/4/2021,60-69,559,1014
4/4/2021,70-79,316,497
4/4/2021,40-49,1366,3461
4/4/2021,30-39,2100,5428
4/4/2021,90+,58,68
4/4/2021,80-89,162,309
4/4/2021,20-29,2838,7111
4/4/2021,50-59,867,1842
4/4/2021,0-19,1273,2985
4/5/2021,70-79,362,465
4/5/2021,40-49,1409,2945
4/5/2021,30-39,2181,4800
4/5/2021,80-89,224,247
4/5/2021,60-69,580,894
4/5/2021,90+,70,77
4/5/2021,0-19,1487,3112
4/5/2021,50-59,929,1751
4/5/2021,20-29,2930,6789
4/6/2021,90+,66,71
4/6/2021,30-39,1920,3923
4/6/2021,70-79,368,400
4/6/2021,60-69,562,794
4/6/2021,40-49,1261,2470
4/6/2021,50-59,846,1387
4/6/2021,80-89,187,191
4/6/2021,20-29,2397,5129
4/6/2021,0-19,1164,2187
4/7/2021,60-69,586,658
4/7/2021,50-59,843,1282
4/7/2021,70-79,304,352
4/7/2021,90+,82,56
4/7/2021,40-49,1197,2308
4/7/2021,20-29,2489,4663
4/7/2021,30-39,1802,3450
4/7/2021,0-19,1194,2108
4/7/2021,80-89,176,213
4/8/2021,70-79,305,365
4/8/2021,30-39,2008,4188
4/8/2021,40-49,1378,2545
4/8/2021,60-69,575,792
4/8/2021,50-59,850,1430
4/8/2021,20-29,2561,5093
4/8/2021,0-19,1217,2084
4/8/2021,80-89,184,202
4/8/2021,90+,83,47
4/9/2021,50-59,328,498
4/9/2021,60-69,166,230
4/9/2021,30-39,886,1628
4/9/2021,70-79,73,96
4/9/2021,40-49,499,939
4/9/2021,90+,7,7
4/9/2021,20-29,930,1829
4/9/2021,80-89,38,67
4/9/2021,0-19,444,756
4/10/2021,50-59,140,294
4/10/2021,60-69,69,109
4/10/2021,0-19,191,490
4/10/2021,20-29,502,1195
4/10/2021,80-89,7,27
4/10/2021,70-79,39,56
4/10/2021,90+,7,7
4/10/2021,40-49,205,519
4/10/2021,30-39,334,736
4/11/2021,20-29,2554,4440
4/11/2021,50-59,770,1173
4/11/2021,0-19,1269,2008
4/11/2021,70-79,343,332
4/11/2021,30-39,1971,3263
4/11/2021,60-69,565,661
4/11/2021,90+,60,64
4/11/2021,40-49,1203,1979
4/11/2021,80-89,159,174
4/12/2021,50-59,851,1041
4/12/2021,80-89,210,159
4/12/2021,0-19,1339,1741
4/12/2021,20-29,2459,4226
4/12/2021,90+,78,63
4/12/2021,30-39,1734,3018
4/12/2021,40-49,1146,1800
4/12/2021,70-79,329,352
4/12/2021,60-69,555,623
4/13/2021,20-29,1517,1426
4/13/2021,0-19,650,561
4/13/2021,80-89,159,76
4/13/2021,60-69,339,238
4/13/2021,50-59,538,408
4/13/2021,90+,86,30
4/13/2021,30-39,1257,1228
4/13/2021,70-79,234,130
4/13/2021,40-49,817,683
4/14/2021,20-29,881,1466
4/14/2021,0-19,372,582
4/14/2021,60-69,222,278
4/14/2021,80-89,72,111
4/14/2021,30-39,809,1205
4/14/2021,90+,17,34
4/14/2021,40-49,529,793
4/14/2021,50-59,384,489
4/14/2021,70-79,140,150
4/15/2021,80-89,7,7
4/15/2021,90+,7,7
4/15/2021,0-19,41,50
4/15/2021,20-29,121,118
4/15/2021,50-59,73,50
4/15/2021,70-79,24,17
4/15/2021,40-49,59,67
4/15/2021,30-39,83,85
4/15/2021,60-69,42,21
4/16/2021,20-29,960,2019
4/16/2021,70-79,72,128
4/16/2021,90+,7,24
4/16/2021,80-89,45,82
4/16/2021,0-19,430,778
4/16/2021,30-39,734,1647
4/16/2021,40-49,464,1006
4/16/2021,50-59,294,484
4/16/2021,60-69,180,290
4/17/2021,90+,0,7
4/17/2021,40-49,101,270
4/17/2021,60-69,32,73
4/17/2021,70-79,19,22
4/17/2021,30-39,175,444
4/17/2021,20-29,263,683
4/17/2021,80-89,7,7
4/17/2021,0-19,80,268
4/17/2021,50-59,69,144
4/18/2021,80-89,93,90
4/18/2021,90+,31,26
4/18/2021,60-69,454,371
4/18/2021,30-39,1419,1707
4/18/2021,40-49,963,994
4/18/2021,70-79,229,207
4/18/2021,0-19,1081,975
4/18/2021,20-29,2062,2412
4/18/2021,50-59,632,569
4/19/2021,50-59,572,594
4/19/2021,40-49,843,912
4/19/2021,60-69,389,385
4/19/2021,20-29,1859,2211
4/19/2021,90+,32,55
4/19/2021,70-79,201,204
4/19/2021,30-39,1267,1573
4/19/2021,0-19,946,893
4/19/2021,80-89,95,141
4/20/2021,50-59,588,557
4/20/2021,90+,38,61
4/20/2021,70-79,206,206
4/20/2021,30-39,1349,1599
4/20/2021,60-69,356,409
4/20/2021,40-49,890,946
4/20/2021,0-19,816,818
4/20/2021,20-29,1703,1944
4/20/2021,80-89,97,145
4/21/2021,50-59,661,606
4/21/2021,40-49,866,1006
4/21/2021,30-39,1335,1533
4/21/2021,70-79,206,215
4/21/2021,80-89,121,163
4/21/2021,90+,48,54
4/21/2021,60-69,387,369
4/21/2021,20-29,1712,2084
4/21/2021,0-19,814,870
4/22/2021,60-69,392,407
4/22/2021,40-49,887,1064
4/22/2021,50-59,566,699
4/22/2021,0-19,750,944
4/22/2021,80-89,85,163
4/22/2021,20-29,1598,2193
4/22/2021,70-79,210,252
4/22/2021,30-39,1240,1684
4/22/2021,90+,7,61
4/23/2021,0-19,398,450
4/23/2021,50-59,267,317
4/23/2021,30-39,633,794
4/23/2021,90+,7,7
4/23/2021,70-79,50,48
4/23/2021,40-49,394,483
4/23/2021,60-69,117,132
4/23/2021,20-29,692,964
4/23/2021,80-89,27,35
4/24/2021,20-29,242,467
4/24/2021,50-59,56,93
4/24/2021,0-19,109,176
4/24/2021,80-89,7,7
4/24/2021,70-79,7,7
4/24/2021,40-49,103,175
4/24/2021,30-39,132,253
4/24/2021,60-69,22,30
4/24/2021,90+,0,7
4/25/2021,80-89,77,109
4/25/2021,0-19,610,892
4/25/2021,20-29,1392,2139
4/25/2021,50-59,432,546
4/25/2021,40-49,681,944
4/25/2021,60-69,300,378
4/25/2021,70-79,167,202
4/25/2021,90+,17,36
4/25/2021,30-39,1040,1579
4/26/2021,0-19,855,1161
4/26/2021,20-29,1613,2413
4/26/2021,70-79,163,249
4/26/2021,40-49,724,1065
4/26/2021,80-89,78,152
4/26/2021,90+,29,49
4/26/2021,30-39,1181,1629
4/26/2021,60-69,256,355
4/26/2021,50-59,432,651
4/27/2021,80-89,97,157
4/27/2021,90+,28,59
4/27/2021,20-29,1118,1770
4/27/2021,0-19,637,840
4/27/2021,50-59,450,582
4/27/2021,70-79,160,234
4/27/2021,30-39,968,1460
4/27/2021,60-69,263,392
4/27/2021,40-49,626,920
4/28/2021,0-19,641,1042
4/28/2021,20-29,1277,2162
4/28/2021,80-89,57,155
4/28/2021,90+,21,78
4/28/2021,30-39,940,1520
4/28/2021,60-69,241,400
4/28/2021,50-59,382,609
4/28/2021,40-49,612,912
4/28/2021,70-79,139,216
4/29/2021,90+,16,69
4/29/2021,70-79,140,243
4/29/2021,30-39,948,1635
4/29/2021,40-49,688,994
4/29/2021,20-29,1067,2051
4/29/2021,0-19,560,925
4/29/2021,80-89,79,152
4/29/2021,50-59,415,626
4/29/2021,60-69,278,389
4/30/2021,80-89,21,64
4/30/2021,40-49,317,432
4/30/2021,60-69,101,122
4/30/2021,90+,7,7
4/30/2021,50-59,178,256
4/30/2021,30-39,432,803
4/30/2021,70-79,25,71
4/30/2021,0-19,241,391
4/30/2021,20-29,412,852
5/1/2021,70-79,7,7
5/1/2021,30-39,89,197
5/1/2021,40-49,57,110
5/1/2021,60-69,7,33
5/1/2021,80-89,7,7
5/1/2021,20-29,148,309
5/1/2021,0-19,46,110
5/1/2021,50-59,22,44
5/2/2021,50-59,293,413
5/2/2021,40-49,414,780
5/2/2021,90+,7,31
5/2/2021,70-79,108,172
5/2/2021,30-39,703,1386
5/2/2021,20-29,903,1827
5/2/2021,80-89,49,94
5/2/2021,0-19,511,927
5/2/2021,60-69,164,321
5/3/2021,40-49,497,784
5/3/2021,80-89,51,112
5/3/2021,70-79,95,194
5/3/2021,60-69,204,329
5/3/2021,90+,15,49
5/3/2021,50-59,307,443
5/3/2021,30-39,778,1344
5/3/2021,20-29,928,1588
5/3/2021,0-19,524,787
5/4/2021,70-79,132,170
5/4/2021,60-69,205,238
5/4/2021,40-49,478,667
5/4/2021,30-39,752,1038
5/4/2021,90+,18,55
5/4/2021,80-89,65,129
5/4/2021,20-29,970,1250
5/4/2021,0-19,436,604
5/4/2021,50-59,326,377
5/5/2021,50-59,257,349
5/5/2021,60-69,166,183
5/5/2021,40-49,482,518
5/5/2021,20-29,792,1091
5/5/2021,90+,15,36
5/5/2021,30-39,760,902
5/5/2021,70-79,83,136
5/5/2021,0-19,495,543
5/5/2021,80-89,59,106
5/6/2021,50-59,367,240
5/6/2021,20-29,897,909
5/6/2021,80-89,42,53
5/6/2021,70-79,94,78
5/6/2021,90+,7,7
5/6/2021,60-69,175,147
5/6/2021,30-39,812,622
5/6/2021,40-49,486,382
5/6/2021,0-19,552,478
5/7/2021,30-39,429,534
5/7/2021,40-49,281,349
5/7/2021,70-79,40,41
5/7/2021,60-69,103,109
5/7/2021,50-59,174,204
5/7/2021,0-19,206,302
5/7/2021,20-29,415,691
5/7/2021,90+,7,7
5/7/2021,80-89,7,38
5/8/2021,0-19,25,46
5/8/2021,80-89,7,0
5/8/2021,50-59,7,32
5/8/2021,90+,0,7
5/8/2021,40-49,23,51
5/8/2021,60-69,7,7
5/8/2021,70-79,7,7
5/8/2021,20-29,62,174
5/8/2021,30-39,42,95
5/9/2021,80-89,38,86
5/9/2021,20-29,745,1399
5/9/2021,0-19,435,687
5/9/2021,50-59,275,359
5/9/2021,40-49,406,570
5/9/2021,30-39,626,1034
5/9/2021,60-69,132,290
5/9/2021,70-79,96,154
5/9/2021,90+,7,46
5/10/2021,20-29,703,1293
5/10/2021,0-19,398,694
5/10/2021,30-39,641,1010
5/10/2021,50-59,283,368
5/10/2021,90+,18,51
5/10/2021,80-89,39,102
5/10/2021,60-69,148,252
5/10/2021,40-49,435,594
5/10/2021,70-79,99,157
5/11/2021,20-29,679,1071
5/11/2021,80-89,51,67
5/11/2021,0-19,386,479
5/11/2021,50-59,220,333
5/11/2021,70-79,68,125
5/11/2021,90+,7,17
5/11/2021,30-39,552,843
5/11/2021,60-69,118,175
5/11/2021,40-49,326,529
5/12/2021,20-29,461,817
5/12/2021,60-69,127,179
5/12/2021,90+,21,29
5/12/2021,30-39,475,700
5/12/2021,40-49,282,448
5/12/2021,70-79,52,93
5/12/2021,80-89,26,70
5/12/2021,0-19,198,497
5/12/2021,50-59,174,260
5/13/2021,90+,7,7
5/13/2021,0-19,297,651
5/13/2021,40-49,266,493
5/13/2021,30-39,389,748
5/13/2021,70-79,52,128
5/13/2021,60-69,112,189
5/13/2021,80-89,24,72
5/13/2021,20-29,517,904
5/13/2021,50-59,151,276
5/14/2021,90+,7,7
5/14/2021,30-39,172,335
5/14/2021,50-59,83,123
5/14/2021,80-89,7,20
5/14/2021,0-19,133,226
5/14/2021,20-29,201,332
5/14/2021,40-49,104,199
5/14/2021,60-69,34,58
5/14/2021,70-79,26,35
5/15/2021,20-29,47,50
5/15/2021,30-39,29,29
5/15/2021,70-79,7,7
5/15/2021,40-49,23,23
5/15/2021,60-69,7,7
5/15/2021,50-59,7,42
5/15/2021,0-19,7,7
5/15/2021,80-89,7,7
5/16/2021,30-39,87,267
5/16/2021,70-79,7,27
5/16/2021,40-49,57,150
5/16/2021,60-69,25,53
5/16/2021,90+,0,7
5/16/2021,80-89,7,17
5/16/2021,0-19,61,165
5/16/2021,20-29,130,362
5/16/2021,50-59,43,90
5/17/2021,70-79,7,23
5/17/2021,40-49,33,107
5/17/2021,60-69,7,69
5/17/2021,30-39,37,136
5/17/2021,50-59,24,112
5/17/2021,20-29,56,232
5/17/2021,0-19,19,74
5/17/2021,80-89,0,7
5/18/2021,50-59,191,452
5/18/2021,60-69,112,320
5/18/2021,70-79,64,214
5/18/2021,90+,7,40
5/18/2021,30-39,399,1149
5/18/2021,40-49,256,665
5/18/2021,20-29,442,1224
5/18/2021,80-89,29,95
5/18/2021,0-19,309,639
5/19/2021,70-79,63,140
5/19/2021,30-39,424,1066
5/19/2021,50-59,171,454
5/19/2021,20-29,608,1444
5/19/2021,0-19,301,681
5/19/2021,90+,26,30
5/19/2021,60-69,127,327
5/19/2021,40-49,267,642
5/19/2021,80-89,43,90
5/20/2021,50-59,190,346
5/20/2021,20-29,583,1003
5/20/2021,40-49,281,514
5/20/2021,70-79,67,133
5/20/2021,60-69,118,211
5/20/2021,30-39,465,854
5/20/2021,80-89,21,81
5/20/2021,90+,7,27
5/20/2021,0-19,359,546
5/21/2021,60-69,51,67
5/21/2021,0-19,161,210
5/21/2021,80-89,7,20
5/21/2021,20-29,287,319
5/21/2021,50-59,93,95
5/21/2021,70-79,7,24
5/21/2021,90+,0,7
5/21/2021,30-39,259,317
5/21/2021,40-49,138,170
5/22/2021,20-29,51,109
5/22/2021,0-19,19,34
5/22/2021,50-59,16,27
5/22/2021,70-79,7,7
5/22/2021,60-69,7,7
5/22/2021,80-89,7,7
5/22/2021,30-39,28,90
5/22/2021,40-49,16,55
5/22/2021,90+,0,7
5/23/2021,20-29,612,880
5/23/2021,0-19,359,502
5/23/2021,50-59,236,257
5/23/2021,90+,7,7
5/23/2021,80-89,23,45
5/23/2021,70-79,52,101
5/23/2021,30-39,516,758
5/23/2021,40-49,287,418
5/23/2021,60-69,106,148
5/24/2021,70-79,53,110
5/24/2021,90+,7,16
5/24/2021,30-39,455,920
5/24/2021,20-29,514,878
5/24/2021,0-19,328,493
5/24/2021,80-89,26,63
5/24/2021,60-69,114,174
5/24/2021,50-59,224,302
5/24/2021,40-49,250,505
5/25/2021,20-29,399,612
5/25/2021,80-89,29,68
5/25/2021,0-19,230,349
5/25/2021,30-39,376,534
5/25/2021,70-79,61,96
5/25/2021,60-69,131,169
5/25/2021,40-49,261,352
5/25/2021,90+,7,24
5/25/2021,50-59,151,233
5/26/2021,80-89,24,51
5/26/2021,90+,7,7
5/26/2021,60-69,73,130
5/26/2021,20-29,336,603
5/26/2021,0-19,202,354
5/26/2021,70-79,52,88
5/26/2021,40-49,172,323
5/26/2021,30-39,244,576
5/26/2021,50-59,106,189
5/27/2021,90+,7,23
5/27/2021,30-39,365,603
5/27/2021,20-29,474,881
5/27/2021,70-79,48,89
5/27/2021,80-89,21,63
5/27/2021,60-69,73,144
5/27/2021,40-49,229,351
5/27/2021,50-59,155,220
5/27/2021,0-19,262,568
5/28/2021,50-59,76,156
5/28/2021,60-69,32,84
5/28/2021,70-79,7,36
5/28/2021,90+,7,7
5/28/2021,40-49,92,216
5/28/2021,30-39,137,335
5/28/2021,20-29,168,248
5/28/2021,80-89,7,7
5/28/2021,0-19,92,148
5/29/2021,30-39,23,33
5/29/2021,80-89,7,7
5/29/2021,90+,0,7
5/29/2021,60-69,7,7
5/29/2021,50-59,7,7
5/29/2021,40-49,24,20
5/29/2021,20-29,26,64
5/29/2021,0-19,7,25
5/30/2021,40-49,226,272
5/30/2021,60-69,93,101
5/30/2021,20-29,402,471
5/30/2021,70-79,57,78
5/30/2021,30-39,360,439
5/30/2021,90+,7,7
5/30/2021,50-59,157,156
5/30/2021,80-89,24,35
5/30/2021,0-19,225,282
5/31/2021,50-59,118,177
5/31/2021,60-69,85,117
5/31/2021,0-19,178,307
5/31/2021,40-49,192,263
5/31/2021,90+,7,7
5/31/2021,30-39,415,485
5/31/2021,70-79,42,60
5/31/2021,20-29,476,510
5/31/2021,80-89,7,18
6/1/2021,20-29,344,451
6/1/2021,50-59,133,137
6/1/2021,70-79,36,51
6/1/2021,30-39,221,392
6/1/2021,40-49,168,211
6/1/2021,60-69,56,94
6/1/2021,90+,7,7
6/1/2021,0-19,187,278
6/1/2021,80-89,26,38
6/2/2021,50-59,103,121
6/2/2021,60-69,69,77
6/2/2021,70-79,37,44
6/2/2021,40-49,174,187
6/2/2021,80-89,15,26
6/2/2021,0-19,195,229
6/2/2021,20-29,439,404
6/2/2021,30-39,255,326
6/2/2021,90+,7,7
6/3/2021,80-89,7,30
6/3/2021,60-69,66,86
6/3/2021,50-59,109,118
6/3/2021,40-49,157,174
6/3/2021,70-79,38,35
6/3/2021,0-19,489,209
6/3/2021,20-29,386,337
6/3/2021,90+,7,7
6/3/2021,30-39,243,295
6/4/2021,0-19,515,77
6/4/2021,20-29,95,116
6/4/2021,50-59,61,61
6/4/2021,80-89,7,7
6/4/2021,70-79,7,18
6/4/2021,90+,0,7
6/4/2021,30-39,121,147
6/4/2021,40-49,101,90
6/4/2021,60-69,18,28
6/5/2021,20-29,32,19
6/5/2021,0-19,22,7
6/5/2021,50-59,7,7
6/5/2021,40-49,7,7
6/5/2021,70-79,0,7
6/5/2021,60-69,7,7
6/5/2021,30-39,30,19
6/6/2021,80-89,7,7
6/6/2021,0-19,3260,201
6/6/2021,20-29,300,226
6/6/2021,70-79,41,30
6/6/2021,90+,7,7
6/6/2021,30-39,253,187
6/6/2021,40-49,131,93
6/6/2021,50-59,118,71
6/6/2021,60-69,60,44
6/7/2021,80-89,27,22
6/7/2021,40-49,184,94
6/7/2021,90+,7,7
6/7/2021,0-19,3026,84
6/7/2021,20-29,442,181
6/7/2021,50-59,108,66
6/7/2021,70-79,37,27
6/7/2021,60-69,66,36
6/7/2021,30-39,320,148
6/8/2021,80-89,7,7
6/8/2021,90+,7,7
6/8/2021,60-69,66,67
6/8/2021,70-79,21,28
6/8/2021,40-49,126,141
6/8/2021,30-39,250,241
6/8/2021,0-19,2727,161
6/8/2021,50-59,95,104
6/8/2021,20-29,251,257
6/9/2021,50-59,97,85
6/9/2021,40-49,156,123
6/9/2021,30-39,235,240
6/9/2021,70-79,47,48
6/9/2021,90+,7,7
6/9/2021,20-29,315,319
6/9/2021,0-19,2520,206
6/9/2021,80-89,16,28
6/9/2021,60-69,63,69
6/10/2021,80-89,15,18
6/10/2021,70-79,26,36
6/10/2021,40-49,158,144
6/10/2021,60-69,62,60
6/10/2021,90+,7,7
6/10/2021,50-59,97,92
6/10/2021,30-39,245,251
6/10/2021,20-29,340,305
6/10/2021,0-19,2237,210
6/11/2021,70-79,7,7
6/11/2021,40-49,61,64
6/11/2021,30-39,86,99
6/11/2021,60-69,7,7
6/11/2021,90+,7,7
6/11/2021,80-89,7,7
6/11/2021,20-29,94,109
6/11/2021,0-19,941,74
6/11/2021,50-59,38,32
6/12/2021,50-59,7,7
6/12/2021,60-69,7,7
6/12/2021,40-49,7,7
6/12/2021,0-19,57,16
6/12/2021,20-29,33,33
6/12/2021,30-39,26,18
6/12/2021,70-79,7,7
6/13/2021,50-59,101,112
6/13/2021,20-29,289,311
6/13/2021,40-49,167,147
6/13/2021,70-79,34,35
6/13/2021,80-89,7,7
6/13/2021,90+,7,7
6/13/2021,60-69,63,53
6/13/2021,30-39,246,275
6/13/2021,0-19,2119,221
6/14/2021,70-79,28,25
6/14/2021,40-49,183,175
6/14/2021,30-39,272,288
6/14/2021,0-19,1879,271
6/14/2021,20-29,328,353
6/14/2021,50-59,102,120
6/14/2021,60-69,70,92
6/14/2021,80-89,7,18
6/14/2021,90+,7,7
6/15/2021,80-89,15,23
6/15/2021,0-19,1943,191
6/15/2021,90+,7,7
6/15/2021,50-59,117,95
6/15/2021,60-69,78,72
6/15/2021,40-49,170,141
6/15/2021,20-29,332,301
6/15/2021,70-79,29,47
6/15/2021,30-39,257,304
6/16/2021,20-29,275,171
6/16/2021,80-89,7,29
6/16/2021,0-19,1685,150
6/16/2021,50-59,110,61
6/16/2021,40-49,159,127
6/16/2021,90+,7,15
6/16/2021,30-39,233,176
6/16/2021,70-79,28,46
6/16/2021,60-69,55,53
6/17/2021,20-29,352,255
6/17/2021,0-19,1521,174
6/17/2021,30-39,275,250
6/17/2021,50-59,93,88
6/17/2021,60-69,65,48
6/17/2021,70-79,25,37
6/17/2021,40-49,195,138
6/17/2021,90+,7,7
6/17/2021,80-89,16,7
6/18/2021,50-59,39,34
6/18/2021,0-19,712,45
6/18/2021,20-29,113,78
6/18/2021,80-89,7,7
6/18/2021,90+,7,0
6/18/2021,30-39,120,99
6/18/2021,70-79,7,7
6/18/2021,60-69,23,17
6/18/2021,40-49,59,48
6/19/2021,20-29,36,23
6/19/2021,70-79,7,7
6/19/2021,40-49,7,18
6/19/2021,30-39,19,15
6/19/2021,80-89,7,0
6/19/2021,0-19,58,7
6/19/2021,60-69,7,7
6/19/2021,50-59,7,7
6/20/2021,0-19,2136,182
6/20/2021,90+,7,7
6/20/2021,30-39,288,293
6/20/2021,70-79,34,42
6/20/2021,60-69,61,78
6/20/2021,40-49,191,196
6/20/2021,80-89,16,18
6/20/2021,20-29,351,266
6/20/2021,50-59,134,133
6/21/2021,90+,7,7
6/21/2021,20-29,598,254
6/21/2021,50-59,147,70
6/21/2021,0-19,3507,244
6/21/2021,80-89,7,7
6/21/2021,60-69,74,59
6/21/2021,70-79,34,52
6/21/2021,30-39,435,235
6/21/2021,40-49,223,125
6/22/2021,90+,7,7
6/22/2021,20-29,458,218
6/22/2021,30-39,363,213
6/22/2021,40-49,230,144
6/22/2021,70-79,47,30
6/22/2021,60-69,99,46
6/22/2021,50-59,166,95
6/22/2021,0-19,5321,140
6/22/2021,80-89,26,7
6/23/2021,30-39,474,221
6/23/2021,70-79,50,39
6/23/2021,90+,7,7
6/23/2021,60-69,124,66
6/23/2021,40-49,325,142
6/23/2021,80-89,36,21
6/23/2021,20-29,570,315
6/23/2021,0-19,8786,188
6/23/2021,50-59,203,101
6/24/2021,90+,7,7
6/24/2021,40-49,357,147
6/24/2021,50-59,268,101
6/24/2021,70-79,79,44
6/24/2021,60-69,117,69
6/24/2021,30-39,493,228
6/24/2021,0-19,9871,402
6/24/2021,20-29,619,290
6/24/2021,80-89,35,16
6/25/2021,50-59,136,45
6/25/2021,60-69,51,21
6/25/2021,30-39,275,106
6/25/2021,40-49,218,82
6/25/2021,70-79,18,7
6/25/2021,20-29,242,71
6/25/2021,0-19,5965,429
6/25/2021,80-89,7,7
6/26/2021,30-39,51,28
6/26/2021,50-59,34,7
6/26/2021,70-79,7,0
6/26/2021,0-19,1948,26
6/26/2021,20-29,75,28
6/26/2021,80-89,7,7
6/26/2021,60-69,7,7
6/26/2021,40-49,61,15
6/27/2021,20-29,804,283
6/27/2021,50-59,283,134
6/27/2021,40-49,427,167
6/27/2021,70-79,65,50
6/27/2021,60-69,164,65
6/27/2021,30-39,731,257
6/27/2021,80-89,35,18
6/27/2021,0-19,10988,2314
6/27/2021,90+,7,7
6/28/2021,60-69,171,69
6/28/2021,0-19,11735,2523
6/28/2021,80-89,39,22
6/28/2021,20-29,871,303
6/28/2021,70-79,69,46
6/28/2021,90+,7,7
6/28/2021,40-49,479,158
6/28/2021,50-59,320,102
6/28/2021,30-39,627,242
6/29/2021,0-19,13520,2565
6/29/2021,50-59,376,124
6/29/2021,20-29,951,236
6/29/2021,90+,7,7
6/29/2021,80-89,49,23
6/29/2021,30-39,752,265
6/29/2021,60-69,200,77
6/29/2021,70-79,99,50
6/29/2021,40-49,540,169
6/30/2021,20-29,882,246
6/30/2021,0-19,13304,2279
6/30/2021,50-59,349,130
6/30/2021,90+,7,7
6/30/2021,80-89,63,25
6/30/2021,40-49,564,159
6/30/2021,70-79,107,40
6/30/2021,30-39,783,223
6/30/2021,60-69,207,76
7/1/2021,80-89,50,19
7/1/2021,20-29,966,296
7/1/2021,70-79,91,44
7/1/2021,30-39,783,232
7/1/2021,0-19,13546,2213
7/1/2021,60-69,221,99
7/1/2021,90+,16,7
7/1/2021,50-59,390,122
7/1/2021,40-49,601,156
7/2/2021,80-89,17,7
7/2/2021,20-29,494,104
7/2/2021,0-19,8001,1006
7/2/2021,60-69,94,28
7/2/2021,30-39,468,97
7/2/2021,40-49,329,72
7/2/2021,70-79,41,16
7/2/2021,90+,7,7
7/2/2021,50-59,207,63
7/3/2021,80-89,7,0
7/3/2021,60-69,30,7
7/3/2021,20-29,176,54
7/3/2021,0-19,2053,102
7/3/2021,70-79,17,7
7/3/2021,40-49,116,28
7/3/2021,30-39,134,27
7/3/2021,50-59,60,7
7/4/2021,30-39,811,238
7/4/2021,70-79,125,57
7/4/2021,20-29,1002,244
7/4/2021,60-69,234,100
7/4/2021,40-49,633,183
7/4/2021,50-59,427,118
7/4/2021,90+,7,7
7/4/2021,80-89,62,23
7/4/2021,0-19,14312,2100
7/5/2021,50-59,462,125
7/5/2021,90+,7,7
7/5/2021,70-79,131,43
7/5/2021,40-49,694,198
7/5/2021,60-69,236,92
7/5/2021,30-39,861,239
7/5/2021,80-89,43,15
7/5/2021,20-29,1179,277
7/5/2021,0-19,13997,1865
7/6/2021,30-39,919,311
7/6/2021,70-79,143,49
7/6/2021,60-69,293,80
7/6/2021,90+,16,7
7/6/2021,80-89,58,19
7/6/2021,50-59,415,121
7/6/2021,40-49,671,212
7/6/2021,20-29,1300,354
7/6/2021,0-19,13854,2040
7/7/2021,60-69,232,87
